,M,X,Y,Z,E,P,R,T,S,G,F
0,201,500,500,500,10000,,,,,,
0,203,500,500,12,2,,,,,,
0,204,,,,,1500,1500,1500,,,
0,205,5.00,5.00,0.20,2.50,,,,,,
0,205,,,,,,,0,0,,
0,92,,,,9600,,,,,,
0,,,,,,,,,,90,
0,302,,,,,,,,0,,
0,83,,,,,,,,,,
0,106,,,,,,,,0,,
0,104,,,,,,,0,0,,
0,,,,,,,,0,,,
0,,0,0,0,0,,,,,92,
0,,,,,0,,,,,92,
0,120,,,,,,,,,,
0,907,,,,1000,,,,,,
0,204,,,,,,,,300,,
0,,,,,0.200,,,,,1,10.000
0,,,,,,,,,,21,
0,,,,,,,,,,90,
0,83,,,,,,,,,,
0,106,,,,,,,,252.45,,
0,,,,,-0.20000,,,,,1,120.00000
0,,,,0.500000,,,,,,1,30000.000
0,,5.007,4.276,,,,,,,1,
0,,,,0.410000,,,,,,1,
0,,,,,0.20000,,,,,1,120.00000
0,,,,,,,,,,1,1038
0,,4.670,4.670,,0.00185,,,,,1,
0,,3.882,5.344,,0.00369,,,,,1,
0,,2.999,5.885,,0.00369,,,,,1,
0,,2.041,6.282,,0.00369,,,,,1,
0,,1.033,6.524,,0.00369,,,,,1,
0,,0.000,6.605,,0.00369,,,,,1,
0,,-1.033,6.524,,0.00369,,,,,1,
0,,-2.041,6.282,,0.00369,,,,,1,
0,,-2.999,5.885,,0.00369,,,,,1,
0,,-3.882,5.344,,0.00369,,,,,1,
0,,-4.670,4.670,,0.00369,,,,,1,
0,,-5.344,3.882,,0.00369,,,,,1,
0,,-5.885,2.999,,0.00369,,,,,1,
0,,-6.282,2.041,,0.00369,,,,,1,
0,,-6.524,1.033,,0.00369,,,,,1,
0,,-6.605,0.000,,0.00369,,,,,1,
0,,-6.524,-1.033,,0.00369,,,,,1,
0,,-6.282,-2.041,,0.00369,,,,,1,
0,,-5.885,-2.999,,0.00369,,,,,1,
0,,-5.344,-3.882,,0.00369,,,,,1,
0,,-4.670,-4.670,,0.00369,,,,,1,
0,,-3.882,-5.344,,0.00369,,,,,1,
0,,-2.999,-5.885,,0.00369,,,,,1,
0,,-2.041,-6.282,,0.00369,,,,,1,
0,,-1.033,-6.524,,0.00369,,,,,1,
0,,0.000,-6.605,,0.00369,,,,,1,
0,,1.033,-6.524,,0.00369,,,,,1,
0,,2.041,-6.282,,0.00369,,,,,1,
0,,2.999,-5.885,,0.00369,,,,,1,
0,,3.882,-5.344,,0.00369,,,,,1,
0,,4.670,-4.670,,0.00369,,,,,1,
0,,5.344,-3.882,,0.00369,,,,,1,
0,,5.885,-2.999,,0.00369,,,,,1,
0,,6.282,-2.041,,0.00369,,,,,1,
0,,6.524,-1.033,,0.00369,,,,,1,
0,,6.605,0.000,,0.00369,,,,,1,
0,,6.524,1.033,,0.00369,,,,,1,
0,,6.282,2.041,,0.00369,,,,,1,
0,,5.885,2.999,,0.00369,,,,,1,
0,,5.344,3.882,,0.00369,,,,,1,
0,,5.080,4.191,,0.00145,,,,,1,
0,,,,,-0.20000,,,,,1,120.00000
0,,,,0.910000,,,,,,1,30000.000
0,,3.671,-5.038,,,,,,,1,
0,,,,0.410000,,,,,,1,
0,,,,,0.20000,,,,,1,120.00000
0,,,,,,,,,,1,1038
0,,-3.023,-5.038,,0.02576,,,,,1,
0,,-3.464,-4.768,,0.00199,,,,,1,
0,,-4.167,-4.167,,0.00356,,,,,1,
0,,-4.768,-3.464,,0.00356,,,,,1,
0,,-5.251,-2.676,,0.00356,,,,,1,
0,,-5.605,-1.821,,0.00356,,,,,1,
0,,-5.821,-0.922,,0.00356,,,,,1,
0,,-5.894,0.000,,0.00356,,,,,1,
0,,5.894,0.000,,0.04537,,,,,1,
0,,5.821,0.922,,0.00356,,,,,1,
0,,5.605,1.821,,0.00356,,,,,1,
0,,5.251,2.676,,0.00356,,,,,1,
0,,4.768,3.464,,0.00356,,,,,1,
0,,4.167,4.167,,0.00356,,,,,1,
0,,3.464,4.768,,0.00356,,,,,1,
0,,3.023,5.038,,0.00199,,,,,1,
0,,-3.671,5.038,,0.02576,,,,,1,
0,,,,,-0.20000,,,,,1,120.00000
0,,,,0.910000,,,,,,1,30000.000
0,,-3.911,5.319,,,,,,,1,
0,,,,0.820000,,,,,,1,
0,,,,,0.20000,,,,,1,120.00000
0,,,,,,,,,,1,1036
0,,-4.670,4.670,,0.00356,,,,,1,
0,,-5.344,3.882,,0.00369,,,,,1,
0,,-5.885,2.999,,0.00369,,,,,1,
0,,-6.282,2.041,,0.00369,,,,,1,
0,,-6.524,1.033,,0.00369,,,,,1,
0,,-6.605,0.000,,0.00369,,,,,1,
0,,-6.524,-1.033,,0.00369,,,,,1,
0,,-6.282,-2.041,,0.00369,,,,,1,
0,,-5.885,-2.999,,0.00369,,,,,1,
0,,-5.344,-3.882,,0.00369,,,,,1,
0,,-4.670,-4.670,,0.00369,,,,,1,
0,,-3.882,-5.344,,0.00369,,,,,1,
0,,-2.999,-5.885,,0.00369,,,,,1,
0,,-2.041,-6.282,,0.00369,,,,,1,
0,,-1.033,-6.524,,0.00369,,,,,1,
0,,0.000,-6.605,,0.00369,,,,,1,
0,,1.033,-6.524,,0.00369,,,,,1,
0,,2.041,-6.282,,0.00369,,,,,1,
0,,2.999,-5.885,,0.00369,,,,,1,
0,,3.882,-5.344,,0.00369,,,,,1,
0,,4.670,-4.670,,0.00369,,,,,1,
0,,5.344,-3.882,,0.00369,,,,,1,
0,,5.885,-2.999,,0.00369,,,,,1,
0,,6.282,-2.041,,0.00369,,,,,1,
0,,6.524,-1.033,,0.00369,,,,,1,
0,,6.605,0.000,,0.00369,,,,,1,
0,,6.524,1.033,,0.00369,,,,,1,
0,,6.282,2.041,,0.00369,,,,,1,
0,,5.885,2.999,,0.00369,,,,,1,
0,,5.344,3.882,,0.00369,,,,,1,
0,,4.670,4.670,,0.00369,,,,,1,
0,,3.882,5.344,,0.00369,,,,,1,
0,,2.999,5.885,,0.00369,,,,,1,
0,,2.041,6.282,,0.00369,,,,,1,
0,,1.033,6.524,,0.00369,,,,,1,
0,,0.000,6.605,,0.00369,,,,,1,
0,,-1.033,6.524,,0.00369,,,,,1,
0,,-2.041,6.282,,0.00369,,,,,1,
0,,-2.999,5.885,,0.00369,,,,,1,
0,,-3.818,5.383,,0.00343,,,,,1,
0,,,,,-0.20000,,,,,1,120.00000
0,,,,1.320000,,,,,,1,30000.000
0,,-5.038,-3.671,,,,,,,1,
0,,,,0.820000,,,,,,1,
0,,,,,0.20000,,,,,1,120.00000
0,,,,,,,,,,1,1036
0,,-5.038,3.023,,0.02576,,,,,1,
0,,-4.768,3.464,,0.00199,,,,,1,
0,,-4.167,4.167,,0.00356,,,,,1,
0,,-3.464,4.768,,0.00356,,,,,1,
0,,-2.676,5.251,,0.00356,,,,,1,
0,,-1.821,5.605,,0.00356,,,,,1,
0,,-0.922,5.821,,0.00356,,,,,1,
0,,-0.000,5.894,,0.00356,,,,,1,
0,,0.000,-5.894,,0.04537,,,,,1,
0,,0.922,-5.821,,0.00356,,,,,1,
0,,1.821,-5.605,,0.00356,,,,,1,
0,,2.676,-5.251,,0.00356,,,,,1,
0,,3.464,-4.768,,0.00356,,,,,1,
0,,4.167,-4.167,,0.00356,,,,,1,
0,,4.768,-3.464,,0.00356,,,,,1,
0,,5.038,-3.023,,0.00199,,,,,1,
0,,5.038,3.671,,0.02576,,,,,1,
0,,,,,-0.20000,,,,,1,120.00000
0,,,,1.320000,,,,,,1,30000.000
0,,5.319,3.911,,,,,,,1,
0,,,,1.230000,,,,,,1,
0,,,,,0.20000,,,,,1,120.00000
0,,,,,,,,,,1,1035
0,,4.670,4.670,,0.00356,,,,,1,
0,,3.882,5.344,,0.00369,,,,,1,
0,,2.999,5.885,,0.00369,,,,,1,
0,,2.041,6.282,,0.00369,,,,,1,
0,,1.033,6.524,,0.00369,,,,,1,
0,,0.000,6.605,,0.00369,,,,,1,
0,,-1.033,6.524,,0.00369,,,,,1,
0,,-2.041,6.282,,0.00369,,,,,1,
0,,-2.999,5.885,,0.00369,,,,,1,
0,,-3.882,5.344,,0.00369,,,,,1,
0,,-4.670,4.670,,0.00369,,,,,1,
0,,-5.344,3.882,,0.00369,,,,,1,
0,,-5.885,2.999,,0.00369,,,,,1,
0,,-6.282,2.041,,0.00369,,,,,1,
0,,-6.524,1.033,,0.00369,,,,,1,
0,,-6.605,0.000,,0.00369,,,,,1,
0,,-6.524,-1.033,,0.00369,,,,,1,
0,,-6.282,-2.041,,0.00369,,,,,1,
0,,-5.885,-2.999,,0.00369,,,,,1,
0,,-5.344,-3.882,,0.00369,,,,,1,
0,,-4.670,-4.670,,0.00369,,,,,1,
0,,-3.882,-5.344,,0.00369,,,,,1,
0,,-2.999,-5.885,,0.00369,,,,,1,
0,,-2.041,-6.282,,0.00369,,,,,1,
0,,-1.033,-6.524,,0.00369,,,,,1,
0,,0.000,-6.605,,0.00369,,,,,1,
0,,1.033,-6.524,,0.00369,,,,,1,
0,,2.041,-6.282,,0.00369,,,,,1,
0,,2.999,-5.885,,0.00369,,,,,1,
0,,3.882,-5.344,,0.00369,,,,,1,
0,,4.670,-4.670,,0.00369,,,,,1,
0,,5.344,-3.882,,0.00369,,,,,1,
0,,5.885,-2.999,,0.00369,,,,,1,
0,,6.282,-2.041,,0.00369,,,,,1,
0,,6.524,-1.033,,0.00369,,,,,1,
0,,6.605,0.000,,0.00369,,,,,1,
0,,6.524,1.033,,0.00369,,,,,1,
0,,6.282,2.041,,0.00369,,,,,1,
0,,5.885,2.999,,0.00369,,,,,1,
0,,5.383,3.818,,0.00343,,,,,1,
0,,,,,-0.20000,,,,,1,120.00000
0,,,,1.730000,,,,,,1,30000.000
0,,-3.671,5.038,,,,,,,1,
0,,,,1.230000,,,,,,1,
0,,,,,0.20000,,,,,1,120.00000
0,,,,,,,,,,1,1035
0,,3.023,5.038,,0.02576,,,,,1,
